,Result,queue,region,firstDragon,firstTower,firstBlood,firstInhibitor,firstBaron,firstRiftHerald,player0Champ,player0Side,player0Kills,player0Deaths,player0Assists,player0KDA,player0ObjDmg,player0GoldPS,player0CSPM,player0DmgDPS,player0DmgTPS,player0HealingPS,player0VisionScorePM,player0SecDead,player1Champ,player1Side,player1Kills,player1Deaths,player1Assists,player1KDA,player1ObjDmg,player1GoldPS,player1CSPM,player1DmgDPS,player1DmgTPS,player1HealingPS,player1VisionScorePM,player1SecDead,player2Champ,player2Side,player2Kills,player2Deaths,player2Assists,player2KDA,player2ObjDmg,player2GoldPS,player2CSPM,player2DmgDPS,player2DmgTPS,player2HealingPS,player2VisionScorePM,player2SecDead,player3Champ,player3Side,player3Kills,player3Deaths,player3Assists,player3KDA,player3ObjDmg,player3GoldPS,player3CSPM,player3DmgDPS,player3DmgTPS,player3HealingPS,player3VisionScorePM,player3SecDead,player4Champ,player4Side,player4Kills,player4Deaths,player4Assists,player4KDA,player4ObjDmg,player4GoldPS,player4CSPM,player4DmgDPS,player4DmgTPS,player4HealingPS,player4VisionScorePM,player4SecDead,player5Champ,player5Side,player5Kills,player5Deaths,player5Assists,player5KDA,player5ObjDmg,player5GoldPS,player5CSPM,player5DmgDPS,player5DmgTPS,player5HealingPS,player5VisionScorePM,player5SecDead,player6Champ,player6Side,player6Kills,player6Deaths,player6Assists,player6KDA,player6ObjDmg,player6GoldPS,player6CSPM,player6DmgDPS,player6DmgTPS,player6HealingPS,player6VisionScorePM,player6SecDead,player7Champ,player7Side,player7Kills,player7Deaths,player7Assists,player7KDA,player7ObjDmg,player7GoldPS,player7CSPM,player7DmgDPS,player7DmgTPS,player7HealingPS,player7VisionScorePM,player7SecDead,player8Champ,player8Side,player8Kills,player8Deaths,player8Assists,player8KDA,player8ObjDmg,player8GoldPS,player8CSPM,player8DmgDPS,player8DmgTPS,player8HealingPS,player8VisionScorePM,player8SecDead,player9Champ,player9Side,player9Kills,player9Deaths,player9Assists,player9KDA,player9ObjDmg,player9GoldPS,player9CSPM,player9DmgDPS,player9DmgTPS,player9HealingPS,player9VisionScorePM,player9SecDead
0,Blue,normal_draft_fives,NA,Blue,Blue,Blue,Blue,Blue,Blue,Shen,Blue,10,8,10,2.5,2436,5.461,3.2,50.8596,27.6516,2.14,0.9,289,Nocturne,Blue,5,11,8,1.18,44408,5.68,5.4,105.99,21.09,6.9,1.17,389,Talon,Blue,6,8,6,1.5,1938,5.3,4.88,69.15,1.6,3.2,0.66,308,Ziggs,Blue,12,4,9,5.25,2000,6.5,9.4,100.67,25.5,7.4,0.1,200,Nautilus,Blue,3,14,19,1.54,600,4.4,1.02,40.6,200.5,10.6,2.4,436,K`Sante,Red,3,7,8,1.57,9153,5.48,4.7,100.4,40.5,3.7,0.89,471,Gragas,Red,10,6,22,5.33,1056,4.42,8.5,94.7,20.7,15.4,0.6,102,Neeko,Red,14,5,17,6.2,24126,7.86,5.56,95.4,13.7,2.52,2.3,95,Miss Fortune,Red,17,11,8,2.27,1958,4.76,5.2,95.272,13.73,2.86,0.7,605,Milio,Red,1,7,32,4.71,2370,4.76,0.9,15.3,10.6,9.3,1.4,374
1,Red,normal_draft_fives,NA,Blue,Red,Red,Red,Red,Blue,Shen,blue,10,8,10,2.5,2436,5.461777777777778,3.2,50.85955555555555,27.651555555555557,2.1404444444444444,0.9066666666666666,289,Nocturne,blue,5,11,8,1.1818181818181819,44408,5.685777777777778,5.466666666666667,105.99111111111111,21.089777777777776,6.937333333333333,1.1733333333333333,389,Talon,blue,6,8,6,1.5,1938,5.272,4.88,69.15911111111112,12.156444444444444,0.9093333333333333,0.6666666666666666,308,Ziggs,blue,12,4,9,5.25,7750,6.756444444444444,5.946666666666666,80.25022222222222,11.088444444444445,1.5653333333333332,0.24,123,Nautilus,blue,3,14,19,1.5714285714285714,1056,4.42,1.0666666666666667,20.857777777777777,17.45111111111111,0.5488888888888889,1.68,406,K'Sante,red,3,7,8,1.5714285714285714,9153,5.48,4.96,77.84355555555555,22.403555555555556,1.7742222222222221,0.7733333333333333,261,Gragas,red,10,6,22,5.333333333333333,21796,6.634666666666667,4.88,101.63466666666666,20.802666666666667,9.012444444444444,0.7733333333333333,243,Neeko,red,14,5,17,6.2,24126,7.862666666666667,5.44,104.23377777777777,14.097777777777777,2.526222222222222,0.72,185,Miss Fortune,red,17,11,8,2.272727272727273,29148,7.632444444444444,5.546666666666667,95.272,13.734222222222222,2.86,0.7466666666666667,337,Milio,red,1,7,32,4.714285714285714,1959,4.762666666666667,0.9866666666666667,15.373777777777779,10.685333333333332,9.319555555555555,2.3466666666666667,233
2,Blue,normal_draft_fives,NA,Blue,Blue,Red,Blue,Blue,Red,K'Sante,blue,2,3,5,2.3333333333333335,2370,5.377084844089921,5.264684554024655,48.07469180565627,9.614938361131255,0.7672226250906454,0.47860768672951415,98,Viego,blue,3,3,5,2.6666666666666665,26867,6.607686729514141,5.786802030456853,110.17621464829587,15.662073966642495,8.965192168237854,0.6961566352429296,94,Sylas,blue,6,3,2,2.6666666666666665,8388,6.79550398839739,5.569253081943437,60.14720812182741,10.833937635968093,1.87962291515591,0.8266860043509789,65,Caitlyn,blue,11,0,4,15.0,29289,8.91588107324148,8.092820884699057,95.50036258158086,4.319071791153009,2.7708484408992025,0.6091370558375634,0,Morgana,blue,2,2,13,7.5,9064,5.672226250906454,0.2175489485134155,17.04568527918782,6.380710659898477,1.2777374909354604,1.8274111675126903,55,Rumble,red,1,8,3,0.5,13718,5.448875997099347,5.699782451051487,94.98767222625091,20.14068165337201,8.40319071791153,0.5221174764321972,188,Tristana,red,2,6,4,1.0,15382,7.76939811457578,7.048585931834663,98.6620739666425,10.281363306744018,1.088469905728789,0.3915881073241479,192,Fizz,red,8,3,1,3.0,4439,7.695431472081219,6.87454677302393,65.42784626540971,11.024655547498186,1.1979695431472082,0.6526468455402465,60,Lulu,red,0,4,1,0.25,648,4.154459753444525,3.7853517041334297,36.03915881073242,9.39811457577955,0.6076867295141407,0.435097897026831,57,Yuumi,red,0,3,2,0.6666666666666666,244,3.459753444525018,0.2175489485134155,5.997099347353155,2.8245105148658447,2.563451776649746,0.6961566352429296,57
3,Blue,ranked_solo_fives,NA,Red,Red,Blue,Blue,Red,Blue,Tryndamere,blue,8,4,11,4.75,20292,7.539629005059022,8.347386172006745,138.59612141652613,21.668634064080944,11.98946037099494,0.8094435075885329,190,Ekko,blue,19,7,6,3.5714285714285716,44223,9.75379426644182,6.930860033726813,166.2150084317032,21.063237774030355,9.569139966273188,0.9612141652613828,331,Galio,blue,1,6,10,1.8333333333333333,6886,5.268971332209106,5.843170320404722,82.106239460371,15.64839797639123,2.9279089376053964,0.8853288364249579,236,Lucian,blue,11,20,3,0.7,18042,7.631956155143339,7.487352445193929,131.6935075885329,18.142495784148398,3.406408094435076,0.7588532883642496,638,Milio,blue,0,6,25,4.166666666666667,1514,4.155986509274873,0.3794266441821248,6.913153456998313,8.335160202360877,4.695615514333896,2.3018549747048906,193,Yone,red,4,10,7,1.1,6232,5.4949409780775715,4.907251264755481,80.76011804384486,15.206998313659359,2.5476391231028668,0.9359190556492412,307,Viego,red,12,5,12,4.8,41444,7.535834738617201,5.691399662731872,119.27234401349072,19.70193929173693,9.844856661045531,1.0623946037099494,142,Katarina,red,7,8,11,2.25,4600,6.177908937605396,5.716694772344014,80.79342327150084,19.770236087689714,4.408094435075886,0.45531197301854975,314,Kai'Sa,red,13,10,6,1.9,35583,8.576728499156829,7.057335581787521,112.28330522765599,16.618887015177066,5.63575042158516,1.5935919055649241,344,Zilean,red,7,6,19,4.333333333333333,10608,5.756745362563238,1.9983136593591906,42.26433389544688,11.804806070826308,6.056070826306914,2.504215851602024,189
